"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4498","count assertions describe how many matches a locator has","desktop-chrome","2026-08-27","passed","2026-08-27","Locators & assertions showcase","","",""
"","624","cart page responds before the UI journey runs","api","2026-08-27","passed","2026-08-27","API setup — precondition checks","","",""
"","2367","cart page renders an empty basket","desktop-chrome","2026-08-27","passed","2026-08-27","Trace Viewer & parallel tests showcase","","",""
"","9882","mobile customer adds a tester to the basket via the hamburger menu","mobile-chrome","2026-08-27","passed","2026-08-27","Purchase a colour tester","","",""
"","5656","text locators match visible copy on the page","desktop-chrome","2026-08-27","passed","2026-08-27","Locators & assertions showcase","","",""
"","4729","soft assertions report every failing check, not just the first","desktop-chrome","2026-08-27","passed","2026-08-27","Test runner config showcase","","",""
"","4228","annotations attach metadata visible in the HTML/Allure reports","desktop-chrome","2026-08-27","passed","2026-08-27","Test runner config showcase","","",""
"","5844","navigating updates the page URL and title","desktop-chrome","2026-08-27","passed","2026-08-27","Locators & assertions showcase","","",""
"","447","home page responds before the UI journey runs","api","2026-08-27","passed","2026-08-27","API setup — precondition checks","","",""
"","4368","a slow check can opt into a longer per-test timeout","desktop-chrome","2026-08-27","passed","2026-08-27","Test runner config showcase","","",""
"","15387","desktop customer adds a tester to the basket via the colour finder","desktop-chrome","2026-08-27","passed","2026-08-27","Purchase a colour tester","","",""
"","5783","home page renders its main navigation","desktop-chrome","2026-08-27","passed","2026-08-27","Trace Viewer & parallel tests showcase","","",""
"","4855","role-based locators identify elements by their accessible name","desktop-chrome","2026-08-27","passed","2026-08-27","Locators & assertions showcase","","",""
"","4537","expensive checks can be skipped in CI with a documented reason","desktop-chrome","2026-08-27","skipped","2026-08-27","Test runner config showcase","","",""
